country_code,year,literacy_rate
NER,2022,35.6100006103516
NER,2018,33.0499992370605
NGA,2024,70.4100036621094
NGA,2021,63.1599998474121
NGA,2016,58.2200012207031
OMN,2022,97.3399963378906
OMN,2020,96.9000015258789
OMN,2018,95.6500015258789
OMN,2017,95.5800018310547
PAK,2021,58.8600006103516
PAK,2019,58.0
PAK,2018,57.0099983215332
PAK,2017,59.1300010681152
PLW,2020,100.0
PAN,2024,96.256135181795
PAN,2023,96.1092282909577
PAN,2021,96.2400288895206
PAN,2019,95.7399978637695
PAN,2018,95.4100036621094
PNG,2022,87.144148905762
PNG,2017,70.0599975585938
PRY,2024,94.8600006103516
PRY,2020,94.5400009155273
PRY,2019,93.2099990844727
PRY,2018,94.0199966430664
PRY,2016,94.6500015258789
PER,2024,93.6600036621094
PER,2020,94.5
PER,2018,94.4100036621094
PER,2017,94.1500015258789
PER,2016,94.1699981689453
PHL,2020,98.4700012207031
PHL,2019,96.2799987792969
PRI,2017,92.3899993896484
ROU,2021,99.1600036621094
RUS,2021,99.9300003051758
RWA,2022,78.7600021362305
RWA,2020,80.0500030517578
RWA,2018,73.2200012207031
WSM,2019,97.9899978637695
WSM,2017,100.0
WSM,2016,99.4000015258789
SMR,2022,99.9100036621094
STP,2019,87.4400024414062
SAU,2024,97.9300003051758
SAU,2020,97.5899963378906
SAU,2017,95.3300018310547
SEN,2023,50.3600006103516
SEN,2019,46.8300018310547
SEN,2018,46.6100006103516
SEN,2017,51.9000015258789
SEN,2016,46.0999984741211
SRB,2022,99.3399963378906
SRB,2019,99.4800033569336
SRB,2016,98.8399963378906
SLE,2019,43.5800018310547
SLE,2018,48.8216576787275
SLE,2017,44.8300018310547
SGP,2021,97.6500015258789
SGP,2020,97.129997253418
SGP,2019,97.4800033569336
SGP,2018,97.3399963378906
SGP,2017,97.1999969482422
SGP,2016,97.0500030517578
SOM,2022,54.1199989318848
SOM,2019,63.6841427350076
ZAF,2024,91.1500015258789
ZAF,2021,90.0
ZAF,2019,95.0199966430664
ZAF,2016,91.7399978637695
ESP,2021,99.6999969482422
ESP,2020,98.5899963378906
ESP,2018,98.4400024414062
ESP,2016,98.25
LKA,2023,92.6600036621094
LKA,2022,92.4899978637695
LKA,2021,92.4300003051758
LKA,2020,92.379997253418
LKA,2019,92.25
LKA,2018,91.7099990844727
LKA,2017,91.9000015258789
LKA,2016,92.3899993896484
SYR,2021,94.4199981689453
TZA,2022,78.2099990844727
TZA,2020,82.232634463345
THA,2022,91.0999984741211
THA,2019,91.2699966430664
THA,2018,93.7699966430664
THA,2016,91.9800033569336
TLS,2022,72.4700012207031
TLS,2016,65.7799987792969
TGO,2022,72.5999984741211
TGO,2019,66.5400009155273
TGO,2017,60.9182911842179
TON,2019,91.0500030517578
TON,2016,97.1500015258789
TUN,2023,86.25
TUN,2021,83.6800003051758
TUN,2019,80.5500030517578
TUN,2018,79.4800033569336
TUR,2021,97.2600021362305
TUR,2019,96.7399978637695
TUR,2017,96.1500015258789
TUR,2016,95.8600006103516
TKM,2022,99.9000015258789
TUV,2022,100.0
UGA,2021,79.0582329588683
UGA,2016,69.0999984741211
ARE,2024,98.8099975585938
ARE,2023,98.0599975585938
ARE,2022,98.2900009155273
ARE,2021,98.129997253418
ARE,2019,97.7799987792969
URY,2024,98.9100036621094
URY,2023,98.8671517186373
URY,2022,98.8499984741211
URY,2020,98.9665883559203
URY,2019,98.7699966430664
URY,2018,98.6999969482422
URY,2017,98.620002746582
URY,2016,98.5599975585938
UZB,2022,100.0
UZB,2021,100.0
UZB,2019,100.0
UZB,2018,99.9899978637695
UZB,2016,99.9899978637695
VUT,2023,87.9599990844727
VUT,2020,89.8307065699515
VUT,2019,92.7475057391313
VEN,2017,97.1867494381301
VEN,2016,97.129997253418
VNM,2022,96.129997253418
VNM,2019,95.75
PSE,2024,97.9449803653341
PSE,2022,97.8399963378906
PSE,2021,97.6857135394122
PSE,2020,97.5100021362305
PSE,2019,97.379997253418
PSE,2018,97.2200012207031
PSE,2017,96.9199981689453
PSE,2016,96.7200012207031
ZMB,2023,82.0418064991238
ZMB,2022,79.9751431296375
ZMB,2021,79.9450094407671
ZMB,2020,81.7591544152556
ZMB,2018,71.129997253418
ZWE,2019,93.2300033569336
