country_code,year,gni_per_capita
BRN,2024,36020.0
BRN,2023,34390.0
BRN,2022,30970.0
BRN,2021,29890.0
BRN,2020,30810.0
BRN,2019,31550.0
BRN,2018,28790.0
BRN,2017,29230.0
BRN,2016,32570.0
BRN,2015,38180.0
BGR,2024,15370.0
BGR,2023,14240.0
BGR,2022,13100.0
BGR,2021,11720.0
BGR,2020,10090.0
BGR,2019,9920.0
BGR,2018,8860.0
BGR,2017,7900.0
BGR,2016,7630.0
BGR,2015,7620.0
BFA,2024,850.0
BFA,2023,840.0
BFA,2022,840.0
BFA,2021,820.0
BFA,2020,770.0
BFA,2019,760.0
BFA,2018,730.0
BFA,2017,650.0
BFA,2016,650.0
BFA,2015,680.0
BDI,2024,260.0
BDI,2023,280.0
BDI,2022,290.0
BDI,2021,260.0
BDI,2020,250.0
BDI,2019,250.0
BDI,2018,250.0
BDI,2017,240.0
BDI,2016,240.0
BDI,2015,240.0
CPV,2024,4950.0
CPV,2023,4740.0
CPV,2022,4550.0
CPV,2021,3870.0
CPV,2020,3510.0
CPV,2019,4420.0
CPV,2018,4040.0
CPV,2017,3620.0
CPV,2016,3580.0
CPV,2015,3620.0
KHM,2024,2550.0
KHM,2023,2390.0
KHM,2022,2270.0
KHM,2021,2120.0
KHM,2020,2050.0
KHM,2019,2100.0
KHM,2018,1920.0
KHM,2017,1690.0
KHM,2016,1550.0
KHM,2015,1430.0
CMR,2024,1700.0
CMR,2023,1680.0
CMR,2022,1660.0
CMR,2021,1610.0
CMR,2020,1540.0
CMR,2019,1560.0
CMR,2018,1520.0
CMR,2017,1410.0
CMR,2016,1470.0
CMR,2015,1530.0
CAN,2024,53400.0
CAN,2023,54660.0
CAN,2022,53850.0
CAN,2021,49080.0
CAN,2020,43900.0
CAN,2019,46580.0
CAN,2018,45060.0
CAN,2017,42900.0
CAN,2016,43900.0
CAN,2015,47580.0
CYM,2023,75720.0
CYM,2022,74060.0
CYM,2021,76260.0
CYM,2020,62420.0
CYM,2019,64520.0
CYM,2018,57880.0
CYM,2017,51890.0
CYM,2016,47830.0
CYM,2015,44430.0
CAF,2024,510.0
CAF,2023,530.0
CAF,2022,520.0
CAF,2021,510.0
CAF,2020,490.0
CAF,2019,500.0
CAF,2018,470.0
CAF,2017,420.0
CAF,2016,400.0
CAF,2015,390.0
