country_code,year,gdp_per_capita
SAS,2018,1988.3663331799
TSA,2018,1988.3663331799
SSF,2018,1620.54140805919
SSA,2018,1718.42346098448
TSS,2018,1620.54140805919
WLD,2018,11309.3830773178
AFG,2018,491.337221382603
ALB,2018,5897.65452588774
DZA,2018,4577.21029180491
ASM,2018,12552.0546868861
AND,2018,42819.7577456133
AGO,2018,2860.0936483682
ATG,2018,18273.4270684912
ARG,2018,11752.7998922979
ARM,2018,4196.00562301769
ABW,2018,30082.1584226798
AUS,2018,57410.1737346009
AUT,2018,51194.0749841299
AZE,2018,4739.7943123408
BHS,2018,32642.3353203452
BHR,2018,26324.4066549559
BGD,2018,1965.24372731467
BRB,2018,21381.2426303209
BLR,2018,6360.037502312
BEL,2018,47487.2100392561
BLZ,2018,6011.99036888587
BEN,2018,1151.7409703472
BMU,2018,113204.82210838
BTN,2018,3400.20417245342
BOL,2018,4206.8552936661
BIH,2018,6047.84707207392
BWA,2018,7407.95940141786
BRA,2018,9300.66072904004
BRN,2018,30988.1190267227
BGR,2018,9849.38397225174
BFA,2018,777.465618514048
BDI,2018,245.661678332009
CPV,2018,4294.96510035729
KHM,2018,2036.67377566578
CMR,2018,1610.69641591017
CAN,2018,46539.1761570405
CYM,2018,83865.5540393356
CAF,2018,455.243962859534
TCD,2018,948.656629871231
CHI,2018,60784.8125397162
CHL,2018,15659.4808675628
CHN,2018,10085.6638148819
COL,2018,6816.96818309544
COM,2018,1527.40527125285
COD,2018,518.169626875371
COG,2018,2694.43413191427
CRI,2018,12590.2493781614
CIV,2018,2130.86619381144
HRV,2018,15460.3669595491
CUB,2018,8911.46205998726
CUW,2018,19119.1244887029
CYP,2018,29120.375
CZE,2018,23705.9329811299
DNK,2018,61324.7665045565
DJI,2018,2718.08338799203
DMA,2018,9215.3085405645
DOM,2018,7882.98221584944
ECU,2018,6303.91886658338
EGY,2018,2484.70315630508
SLV,2018,4183.54620971358
GNQ,2018,8102.47084834031
EST,2018,23618.1361254581
SWZ,2018,3972.65450620357
ETH,2018,739.702022272086
FRO,2018,62526.4908515743
FJI,2018,6085.41979485376
FIN,2018,49654.2497035329
FRA,2018,41418.1766484844
PYF,2018,21925.616043938
GAB,2018,7624.2775233771
GMB,2018,696.219806960615
GEO,2018,4804.0546040444
DEU,2018,48916.1686612154
GHA,2018,2195.32166016377
GRC,2018,19873.4015238771
GRL,2018,54545.135857765
GRD,2018,10083.021279225
GUM,2018,37195.9503070464
GTM,2018,4352.94593289707
GIN,2018,933.273615633705
GNB,2018,808.531613218504
GUY,2018,6048.38697180418
HTI,2018,1496.38048970156
HND,2018,2464.64241531918
HKG,2018,48537.5668888343
HUN,2018,16605.0570511887
ISL,2018,75633.8651351915
IND,2018,1966.25455171679
IDN,2018,3860.95353090726
IRN,2018,4783.01067340237
IRQ,2018,5646.68932074742
IRL,2018,80804.1123164826
IMN,2018,89393.8244248812
ISR,2018,42362.6652754196
ITA,2018,34904.1081923834
JAM,2018,5976.90362644337
JPN,2018,39751.1330982711
JOR,2018,4145.43989673265
KAZ,2018,9472.48527327758
KEN,2018,1836.45275528993
KIR,2018,1912.73809378187
KOR,2018,35363.9508228687
XKX,2018,4384.18796444738
KWT,2018,32067.9623756889
KGZ,2018,1283.5203037417
LAO,2018,2545.1075420815
LVA,2018,17252.1710428626
LBN,2018,9174.53666204759
LSO,2018,1170.65569702819
LBR,2018,692.203127129794
LBY,2018,11196.5854810844
LIE,2018,174988.775083446
LTU,2018,19247.2315367967
LUX,2018,116926.759593905
MAC,2018,83588.2875009014
MDG,2018,500.45718552916
MWI,2018,533.202567189331
MYS,2018,10901.8019954421
MDV,2018,11423.2838427029
MLI,2018,996.379292136901
MLT,2018,33382.2677499267
MHL,2018,4858.12079054875
MRT,2018,1722.93528854073
MUS,2018,11818.7480619272
MEX,2018,10084.7937562021
FSM,2018,3566.58690371125
MDA,2018,4156.44981956646
MCO,2018,188298.315668437
MNG,2018,4107.64288528468
MNE,2018,8673.59128084795
MAR,2018,3501.69799804688
MOZ,2018,517.507260258101
MMR,2018,1298.21310327675
NAM,2018,5308.60813408705
NRU,2018,11413.7463016389
NPL,2018,1179.19843190389
NLD,2018,53955.0770024266
NCL,2018,34902.8968780031
NZL,2018,43257.0769238879
NIC,2018,2035.16549390507
NER,2018,578.568035680892
NGA,2018,2057.87944554011
MKD,2018,6713.98925398989
MNP,2018,26509.3628379893
NOR,2018,82792.8427113304
OMN,2018,19901.7615642016
PAK,2018,1569.33814626355
PLW,2018,16166.9671073752
PAN,2018,16151.3273433486
PNG,2018,2566.36833735041
PRY,2018,6258.44991640984
PER,2018,6978.49121548627
PHL,2018,3168.51036609727
POL,2018,15658.2120316794
PRT,2018,23541.1401075289
PRI,2018,30679.9181934488
QAT,2018,71039.9308240078
ROU,2018,12416.134317959
RUS,2018,11211.8876953125
RWA,2018,771.773511207309
WSM,2018,4231.81409469194
SMR,2018,47950.6880557136
STP,2018,1825.59971753966
SAU,2018,29360.0658968566
SEN,2018,1452.55612562445
SRB,2018,7559.86165747394
SYC,2018,18440.2340460932
SLE,2018,845.914540460932
SGP,2018,66881.6067035265
SXM,2018,31708.3110124742
SVK,2018,19573.3717031314
SVN,2018,25888.0481065655
SLB,2018,2278.19908624102
SOM,2018,509.497273804534
ZAF,2018,6914.1780318076
ESP,2018,30602.4212881113
LKA,2018,4358.56095906047
KNA,2018,22901.3816403197
LCA,2018,11642.6984727769
VCT,2018,8428.12677153069
SDN,2018,731.027465820313
SUR,2018,6665.74180472239
SWE,2018,54018.4554391861
CHE,2018,85217.3691512274
SYR,2018,1098.0668642357
TJK,2018,834.288404578801
TZA,2018,1023.10626220703
THA,2018,7099.77650081458
TLS,2018,1219.46599728983
TGO,2018,851.120561233595
TON,2018,4675.04791274385
TTO,2018,17571.498737278
TUN,2018,3628.10366464236
TUR,2018,9684.11819884721
TKM,2018,6125.05169712085
TCA,2018,31625.616593277
TUV,2018,4466.12034928245
UGA,2018,792.16570022814
UKR,2018,3059.0517578125
ARE,2018,47135.3591943971
GBR,2018,43702.9976303165
USA,2018,62499.8744390068
URY,2018,19249.9404677501
UZB,2018,1813.08530813664
VUT,2018,3206.65748718811
VEN,2018,3422.65467014854
VNM,2018,3222.31003125366
VIR,2018,36663.2087550584
PSE,2018,3562.33094270256
YEM,2018,633.887202451545
ZMB,2018,1463.89997855593
ZWE,2018,2270.89531874302
AFE,2019,1507.08559963484
AFW,2019,2216.38505520833
ARB,2019,6674.34224402621
CSS,2019,13995.8548364074
CEB,2019,16534.9264870407
EAR,2019,3483.31545469615
EAS,2019,11622.8915284735
EAP,2019,8286.3981179292
TEA,2019,8379.36503263574
EMU,2019,39220.5136743355
ECS,2019,25020.8648271756
ECA,2019,6069.27407282315
TEC,2019,9058.74177112172
EUU,2019,35374.1403676934
FCS,2019,1861.65330453031
HPC,2019,983.900062178744
IBD,2019,6476.07259783679
IBT,2019,5167.89523774327
IDB,2019,2205.87361894796
IDX,2019,1186.40559680864
IDA,2019,1544.27890067061
LTE,2019,10120.3125161359
LCN,2019,8539.39776066424
LAC,2019,8282.78290882792
TLA,2019,8362.63429845968
LDC,2019,1105.24693378698
LMY,2019,4943.24879858439
MEA,2019,5412.42875673528
MNA,2019,2695.63342343004
TMN,2019,2688.96932958269
MIC,2019,5353.79775844374
NAC,2019,62874.6117089583
OED,2019,39708.8864576635
OSS,2019,12907.6162560274
PSS,2019,4136.34140894161
PST,2019,45840.3536114764
PRE,2019,1681.19065754666
SST,2019,11990.4670996465
SAS,2019,2067.05975687637
TSA,2019,2067.05975687637
SSF,2019,1795.5612786554
SSA,2019,1907.22499436387
TSS,2019,1795.5612786554
WLD,2019,11376.0818134476
AFG,2019,496.6025042585
ALB,2019,6069.43903131027
DZA,2019,4468.45341883656
ASM,2019,12886.1359517218
AND,2019,41257.816459345
AGO,2019,2493.67884440177
ATG,2019,18896.3721832248
ARG,2019,9955.97478680428
ARM,2019,4597.22887399548
ABW,2019,30645.8906024548
AUS,2019,55194.7585097428
AUT,2019,49885.9947355204
AZE,2019,4805.75371765917
BHS,2019,33640.3369861278
BHR,2019,27259.7438599327
BGD,2019,2129.79896954606
BRB,2019,21912.1501242857
BLR,2019,6837.77339645635
BEL,2019,46716.6227467964
BLZ,2019,6171.61449761423
BEN,2019,1130.82135339795
BMU,2019,115798.040775578
BTN,2019,3576.87987100503
BOL,2019,4203.15492855788
BIH,2019,6122.37541352353
BWA,2019,7172.08956480028
BRA,2019,9029.83304401079
BRN,2019,30426.5730656528
BGR,2019,10353.7204584127
BFA,2019,764.853077774946
BDI,2019,234.31061590725
CPV,2019,4380.78117331128
KHM,2019,2225.87705485686
CMR,2019,1555.22660476477
CAN,2019,46352.8693445211
CYM,2019,88254.2902486867
CAF,2019,449.228467602439
TCD,2019,893.336441643325
CHI,2019,60564.6293993681
CHL,2019,14495.716721687
CHN,2019,10342.9009524335
COL,2019,6472.54544924705
COM,2019,1510.23218151592
COD,2019,504.00419142286
COG,2019,2488.42466724916
CRI,2019,12884.6859951989
CIV,2019,2141.76836170115
HRV,2019,15563.5987295029
CUB,2019,9232.26115935183
CUW,2019,19220.6865793075
CYP,2019,29227.173828125
CZE,2019,24062.7190013343
DNK,2019,59404.2663247723
DJI,2019,2837.16902340932
DMA,2019,9491.14995962374
DOM,2019,8183.01623600375
ECU,2019,6205.05765246766
EGY,2019,2962.98892023003
SLV,2019,4320.11671534627
GNQ,2019,6804.14923073888
EST,2019,24021.2501413306
SWZ,2019,3913.14577547336
ETH,2019,793.473247210264
FRO,2019,63068.2872688483
FJI,2019,5842.07344577597
FIN,2019,48358.1807773701
FRA,2019,40408.2848574751
PYF,2019,21582.5892046801
GAB,2019,7441.1786472281
GMB,2019,738.186751987483
GEO,2019,4741.2832715876
DEU,2019,47656.199739747
GHA,2019,2186.65822682613
GRC,2019,19335.3602002969
GRL,2019,53309.2035905065
GRD,2019,10462.7929159533
